School Types,Total,Community,Institutional,Religious,,,,,,,,,,,
ECED,"41,284","33,470","7,814",527,,,,,,,,,,,
Total Unit:,"35,447","27,298","8,149","1,424",,,,,,,,,,,
Basic (1-5),"17,257","15,322","1,935","1,165",,,,,,,,,,,
Basic (6-8),"6,648","4,763","1,885",167,,,,,,,,,,,
Basic (1-8),"23,905","20,085","3,820","1,332",,,,,,,,,,,
"Secondary (1-10, 6-10",or,,,,,,,,,,,,,,
6493,"3,401","3,092",58,,,,,,,,,,,,
Secondary (1-12),5049,"3,812","1,237",34,,,,,,,,,,,
Secondary Level (9-12),"11,542","7,213","4,329",92,,,,,,,,,,,
Total,Community,Institutional,Religious,,,,,,,,,,,,
Total,Girls,Total,Girls,Total Girls,Total Girls,,,,,,,,,,
ECED,"1,301,428","584,827","599,794","289,991","682,576 285,375","19,058 9,461",,,,,,,,,
Basic (1-5),"3,514,928","1,670,143","2,080,910","1,061,177","1,327,479 550,596","106,539 58,370",,,,,,,,,
Basic (6-8),"1,832,140","886,018","1,262,550","649,529","557,986 230,404","11,604 6,085",,,,,,,,,
Basic (1-8),"5,347,068","2,556,161","3,343,460","1,710,706","1,885,465 781,000","118,143 64,455",,,,,,,,,
Sec (9-10),"989,885","485,141","726,994","373,205","260,316 110,675","2,575 1,261",,,,,,,,,
Sec (11-12),"673,855","331,822","450,893","237,115","222,298 94,518",664 189,,,,,,,,,
Sec (9-12),"1,663,740","816,963","1,177,887","610,320","482,614 205,193","3,239 1,450",,,,,,,,,
Teacher Types,Basic (1-5),Basic (6-8),Basic (1-8),Sec (9-10),Sec (11-12),Sec (9-12),,,,,,,,,
"99,096","28,255","127,351","23,422","5,877","29, 299",,,,,,,,,,
App positions: Permanent,"62,369","13,461","75,830","11,159",-,"11,159",,,,,,,,,
App positions: Temporary,"17,185","5,499","22,684","5,088","1,927","7,015",,,,,,,,,
Rahat,"19,542","9,295","28,837","7,175","3,950","11,125",,,,,,,,,
All schools*,"157,456","60,707","218,163","52,304","11,446","63,750",,,,,,,,,
All schools: Female*,"86,127","22,123","108,250","14,265","1,643","15,908",,,,,,,,,
"116,825","37,396","154,221","29,425","6,988","36,413",,,,,,,,,,
"55,713","10,931","66,644","9,329",877,"10,206",,,,,,,,,,
"40,631","23,311","63,942","22,879","4,458","27,337",,,,,,,,,,
"30,414","11,192","41,606","4,936",766,"5,702",,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
2021/22,2024/25,2024/25,,,,,,,,,,,,,
S.N. Result Indicators,Unit,2078 BS,2081 BS,2081 BS,,,,,,,,,,,
1.1. ECED centers that,meet at,least,three,,,,,,,,,,,,
1 Minimum Enabling Conditions,-,39.7,52,68.1,,,,,,,,,,,
G,86,91.7,99.6,,,,,,,,,,,,
GER in ECED,B,%,93.3,97.3,102.1,,,,,,,,,,
T,89.6,94.5,101,,,,,,,,,,,,
G,66.9,75.5,70.3,,,,,,,,,,,,
B,%,71.1,78.7,70.2,,,,,,,,,,,
T,69,77.1,70.2,,,,,,,,,,,,
G,74.9,81.4,75.6,,,,,,,,,,,,
B,%,74.9,81.5,76.9,,,,,,,,,,,
T,74.9,81.5,76.3,,,,,,,,,,,,
Gender Parity Index in NER in ECED,ratio,,,,,,,,,,,,,,
1,-,0.92,0.94,1,,,,,,,,,,,
G,19.3,19.4,15.8,,,,,,,,,,,,
Enrolment rate of Dalit students in ECED,B,%,18.7,18.9,14.9,,,,,,,,,,
T,19,19.2,15.3,,,,,,,,,,,,
G,0.2,0.4,0.64,,,,,,,,,,,,
1.2. Enrolment rate,of students,with,,,,,,,,,,,,,
B,%,0.1,1.2,0.7,,,,,,,,,,,
T,0.6,0.8,0.67,,,,,,,,,,,,
G,"315,121","344,672","299,452",,,,,,,,,,,,
1.3. Pre-primary-aged,children,receiving,,,,,,,,,,,,,
B,No.,"330,009","354,644","319,400",,,,,,,,,,,
T,"645,130","699,316","618,852",,,,,,,,,,,,
F,"5,846","9,460",7044,,,,,,,,,,,,
1.3. ECED teachers/facilitators,with,15,days,,,,,,,,,,,,
M,No.,244,409,124,,,,,,,,,,,
T,"6,090","9,869",7168,,,,,,,,,,,,
year,Targets,Achievement,,,,,,,,,,,,,
S.N. Result Indicators,Unit,,,,,,,,,,,,,,
2021/22,2024/25,2024/25,,,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
G,14.7,5.9,13.8,,,,,,,,,,,,
2.1.1 Repetition rate in Grade 1,B,%,13.9,6.8,12.3,,,,,,,,,,
T,14.3,6.4,13,,,,,,,,,,,,
G,4.3,2.2,9,,,,,,,,,,,,
2.1.2 Dropout rate in Grade 1,B,%,4.4,2.6,9.1,,,,,,,,,,
T,4.3,2.4,9.1,,,,,,,,,,,,
G,124.9,122.2,117.6,,,,,,,,,,,,
2.1.3 GIR in Grade 1,B,%,129,125.7,119.2,,,,,,,,,,
T,127,124.4,118.5,,,,,,,,,,,,
G,95.9,97.1,93.7,,,,,,,,,,,,
2.1.4 NIR in Grade 1,B,%,96.7,97.7,93.6,,,,,,,,,,
T,96.3,97.4,93.7,,,,,,,,,,,,
G,120.8,120.2,125.1,,,,,,,,,,,,
2.1.5 GER in Grade 1-5,B,%,123.1,123,135.8,,,,,,,,,,
T,122,121.6,130.5,,,,,,,,,,,,
G,96.5,97.5,94.5,,,,,,,,,,,,
2.1.6 NER Grade 1-5,B,%,97.2,98,94.3,,,,,,,,,,
T,96.9,97.8,94.4,,,,,,,,,,,,
G,110.4,108.1,114.7,,,,,,,,,,,,
2.1.7 GER in Grade 6-8,B,%,111,109.4,115.3,,,,,,,,,,
T,110.7,108.8,115,,,,,,,,,,,,
G,93,95,93.6,,,,,,,,,,,,
2.1.8 NER in Grade 6-8,B,%,93.6,95.4,93.7,,,,,,,,,,
T,93.3,95.2,93.6,,,,,,,,,,,,
G,117.1,113.4,121.3,,,,,,,,,,,,
2.1.9 GER in Grade 1-8,B,%,118.8,115.1,128.1,,,,,,,,,,
T,118,114.2,124.8,,,,,,,,,,,,
G,94.4,96.1,94.2,,,,,,,,,,,,
2.1.10 NER in Grade 1-8,B,%,95.7,97,94,,,,,,,,,,
T,95.1,96.5,94.1,,,,,,,,,,,,
G,5.1,5.1,8.1,,,,,,,,,,,,
2.1.11 Repetition rate at Basic level (grades 1-8),B,%,5.5,5.5,7.9,,,,,,,,,,
T,5.3,5.3,8,,,,,,,,,,,,
G,2.9,2.9,6.5,,,,,,,,,,,,
2.1.12 Dropout rate at basic level (Grades 1-8),B,%,3.1,3.1,7.1,,,,,,,,,,
T,3,3,6.8,,,,,,,,,,,,
G,83.8,83.8,86.7,,,,,,,,,,,,
2.1.13,Survival rate to grade 8,B,%,83.2,83.2,86.3,,,,,,,,,
T,83.5,83.5,86.5,,,,,,,,,,,,
G,76.6,76.6,82.8,,,,,,,,,,,,
2.1.14,Completion rate at the basic level,B,%,75.9,75.9,82.1,,,,,,,,,
T,76.2,76.2,82.4,,,,,,,,,,,,
Gender Parity Index in NER in,basic,,,,,,,,,,,,,,
2.2.1,ratio,0.99,0.99,1,,,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
S.N. Result Indicators,Unit,2021/22,2024/25,2024/25,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
2.2.2 Female teachers at the basic (1-5) level,%,47.2,48,54.6,,,,,,,,,,,
G,18.6,18.9,17.4,,,,,,,,,,,,
Share of Dalit,students in total,,,,,,,,,,,,,,
2.2.3,B,%,18.1,18.3,16.6,,,,,,,,,,
T,18.4,18.6,17,,,,,,,,,,,,
G,0.5,0.7,0.51,,,,,,,,,,,,
2.2.4,B,%,0.6,0.9,0.62,,,,,,,,,,
T,0.5,0.8,0.57,,,,,,,,,,,,
Students receiving,scholarships at the G,19.1,19.4,43.79,,,,,,,,,,,
2.2.5 basic,B,%,17.9,18.4,8.69,,,,,,,,,,
(1-8) level,T,18.5,18.9,26.24,,,,,,,,,,,
Residential scholarships,for students G,"9,080","10,012",3540,,,,,,,,,,,
2.2.6 from remote areas and targeted groups,B,No.,"8,586","9,468",3986,,,,,,,,,,
at the basic and secondary levels,T,"17,666","19,480",7486,,,,,,,,,,,
Children from 22 most,disadvantaged ethnic,,,,,,,,,,,,,,
2.2.7 minorities/castes,receiving scholarships in,No.,"50,992","62,410",23481,,,,,,,,,,
2.2.8 Special schools with facilities for CwDs,No.,33,47,39,,,,,,,,,,,
2.2.9 Disability-inclusive general schools,%,NA,8,,,,,,,,,,,,
Schools that undertake,early screening for,,,,,,,,,,,,,,
2.2.10,%,25,35.4,44.4,,,,,,,,,,,
Resource teachers,trained in disability-,,,,,,,,,,,,,,
2.2.11,No.,152,380,228,,,,,,,,,,,
Grade 3 students,achieving Reading,%,47.7,,,,,,,,,,,,
2.3.1 minimum proficiency,Numeracy,%,61.3,,,,,,,,,,,,
Grade 5 students,achieving Reading,%,-,,,,,,,,,,,,
2.3.2 minimum proficiency,Numeracy,%,-,,,,,,,,,,,,
Grade 8 students,achieving Nepali,%,58,63,,,,,,,,,,,
2.3.3 minimum proficiency,Math,%,43,47,,,,,,,,,,,
within the first two weeks of school year at,%,68.4,68.4,100,,,,,,,,,,,
No.,ECED - G 5,ECED -G6,ECED - G5,,,,,,,,,,,,
Students receiving free midday meal by,G,"1,598,621","2,460,915","1,409,538",,,,,,,,,,,
grades,B,No.,"1,566,892","2,373,322","1,377,705",,,,,,,,,,
2.3.5,T,"3,165,513","4,817,249","2,787,243",,,,,,,,,,,
2.3.6 Local Levels implementing,activities (teacher,No.,0,500,500,,,,,,,,,,
%,68.4,6.7,72.9,,,,,,,,,,,,
.3.7,onditions (BLCs),,,,,,,,,,,,,,
F,78.4,4.3,85.2,,,,,,,,,,,,
M,%,77.7,3.8,84.7,,,,,,,,,,,
.3.8,T,78.1,4.1,85.9,,,,,,,,,,,
"aths, Science and English subject teachers in",%,25.8,0,68,,,,,,,,,,,
.3.9,rades 6-8,,,,,,,,,,,,,,
No.,NA,0,159,,,,,,,,,,,,
.3.10,est items,,,,,,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
S.N. Result Indicators,Unit,2021/22,2024/25,2024/25,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
G,98.5,101.8,98,,,,,,,,,,,,
3.1.1 GER in grades 9-10,B,%,97.2,100.4,100.2,,,,,,,,,,
T,97.9,101.1,99.1,,,,,,,,,,,,
G,76.5,82.1,77.3,,,,,,,,,,,,
3.1.2 NER in grades 9-10,B,%,75.6,81.2,74.2,,,,,,,,,,
T,76.1,81.7,75.8,,,,,,,,,,,,
G,66.5,71.7,67.3,,,,,,,,,,,,
3.1.3 Survival rate to grade 10,B,%,65.8,70.9,66.4,,,,,,,,,,
T,66.1,71.3,66.9,,,,,,,,,,,,
G,77.2,81.1,77.1,,,,,,,,,,,,
3.1.4 GER in Grades 9-12,B,%,74.9,78.9,84.3,,,,,,,,,,
T,76.1,80,80.6,,,,,,,,,,,,
G,54.3,60,56.1,,,,,,,,,,,,
3.1.5 NER in Grades 9-12,B,%,53.7,52.2,55.5,,,,,,,,,,
T,54,59.6,55.8,,,,,,,,,,,,
G,33.9,39.3,42.4,,,,,,,,,,,,
3.1.6 Survival rate to grade 12,B,%,32.2,37.8,39.1,,,,,,,,,,
T,33.1,38.6,40.6,,,,,,,,,,,,
Average student,attendance days,,,,,,,,,,,,,,
3.1.7,-,Days,181,196,196,,,,,,,,,,
Gender Parity Index,in NER in,,,,,,,,,,,,,,
3.2.1,-,Ratio,1.01,1.01,1.01,,,,,,,,,,
Female teachers,in secondary,,,,,,,,,,,,,,
3.2.2,-,%,20.4,23.7,25,,,,,,,,,,
Share of Dalit,students in,G,11.2,11.9,12.8,,,,,,,,,,
3.2.3 enrolment rate of Dalit students in,B,%,11.4,12,12.2,,,,,,,,,,
secondary level G 9  12,T,11.3,11.9,12.5,,,,,,,,,,,
Share of students with disabilities,G,0.3,0.4,0.34,,,,,,,,,,,
3.2.4 in total enrolment,in secondary,B,%,0.3,0.5,0.39,,,,,,,,,
level (Grades 9  12),T,0.3,0.5,0.37,,,,,,,,,,,
G,11.2,10.3,11.74,,,,,,,,,,,,
Students receiving,scholarships at,B,10.8,10,11.82,,,,,,,,,,
3.2.5,No.,,,,,,,,,,,,,,
T,11,10.2,,,,,,,,,,,,,
3.2.6 Students receiving,pro-poor,G,No.,"43,841",63392,2009,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
S.N. Result Indicators,Unit,2021/22,2024/25,2024/25,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
scholarships at basic and secondary,B,"39,754",57482,4084,,,,,,,,,,,
levels,T,"83,595",120874,6093,,,,,,,,,,,
Nepali,63,,,,,,,,,,,,,,
Grade 10 students achieving,English,49,,,,,,,,,,,,,
3.3.1,%,,,,,,,,,,,,,,
minimum proficiency,Math,54,,,,,,,,,,,,,
Science,37,,,,,,,,,,,,,,
Students receiving the complete,set of,,,,,,,,,,,,,,
3.3.2 textbooks within the first two weeks,of the,%,94.9,96.4,96.7,,,,,,,,,,
F,77.4,83.6,85.4,,,,,,,,,,,,
3.3.3,M,%,80.8,86.1,86.7,,,,,,,,,,
T,79.1,84.9,86.1,,,,,,,,,,,,
Secondary schools with adequate,core,21,40,81.8,,,,,,,,,,,
3.3.4 numbers of subject teachers in,subjects,%,,,,,,,,,,,,,
core subjects in grades 9-10,Five core,,,,,,,,,,,,,,
8.9,18.4,36.8,,,,,,,,,,,,,
Community Schools offering science,and,,,,,,,,,,,,,,
3.3.5 technical subjects/programs at the secondary,No.,863,"1,053",880,,,,,,,,,,,
Students in community schools,G,6.9,6.8,3.0 2,,,,,,,,,,,
3.3.6 enrolled in the technical stream at,B,No.,7.3,7.1,3.7,,,,,,,,,,
the secondary level (9-12),T,7.1,6.9,3.36,,,,,,,,,,,
Percentage of students in science,G,13.6,16.7,21.44,,,,,,,,,,,
stream at secondary level (Grade,B,21.1,24.1,21.54,,,,,,,,,,,
3.3.7,%,,,,,,,,,,,,,,
T,17.2,20.4,21.5,,,,,,,,,,,,
Percentage of students in science,G,7.4,9.9,19.34,,,,,,,,,,,
stream at secondary level (Grade,B,13,14.9,24.5,,,,,,,,,,,
3.3.7,%,,,,,,,,,,,,,,
T,10,12.4,21.79,,,,,,,,,,,,
3.3.8 Secondary schools fulfilling BLCs,%,59.7,69.7,66.8,,,,,,,,,,,
Targets,Achievement,,,,,,,,,,,,,,
S.N.,Result Indicators,Unit,2024/25,2024/25,,,,,,,,,,,
2081 BS,2081 BS,,,,,,,,,,,,,,
4.1,Functional open schools,No.,121,121,121,,,,,,,,,,
Community learning centres that,have,been,,,,,,,,,,,,,
4.2,No.,"2,150","2,150","2,150",,,,,,,,,,,
4.3,Literacy rate of above 5 years,%,78,84,78,,,,,,,,,,
4.4,Literacy rate of above 15 years,%,58,95,58,,,,,,,,,,
4.5,Literacy rate of 1524 years,%,92,99,92,,,,,,,,,,
Targets,Achievement,,,,,,,,,,,,,,
S.N.,Result Indicators,Unit,2024/25,2024/25,,,,,,,,,,,
2081 BS,2081 BS,,,,,,,,,,,,,,
Basic and secondary levels newly,recruited,,,,,,,,,,,,,,
5.1,teachers through the TSC,receiving,job,No.,"17,000","6,210",,,,,,,,,
5.2,recruited teachers completing,one-month,No.,"10,000","6,210",,,,,,,,,,
Number of Teachers at Basic,and Secondary,,,,,,,,,,,,,,
levels completing one-month,capacity,,,,,,,,,,,,,,
5.3,No.,"13,000","27,253",,,,,,,,,,,,
development ICT-based online/offline,training,,,,,,,,,,,,,,
5.4,based short-term and refresher,online/offline,No.,"10,000","45,000",,,,,,,,,,
5.5,and implemented Teacher Professional Support,No.,0,300,,,,,,,,,,,
Targets,Achievement,,,,,,,,,,,,,,
S.N,Result Indicators,Unit,2024/25,2024/25,,,,,,,,,,,
2081 BS,2081 BS,,,,,,,,,,,,,,
6.1,Construction of safe classrooms,No.,"1,000","8,000",,,,,,,,,,,
6.2,No.,200,500,,,,,,,,,,,,
Targets,Achievement,,,,,,,,,,,,,,
S.N,Result Indicators,Unit,2024/25,2024/25,,,,,,,,,,,
2081 BS,2081 BS,,,,,,,,,,,,,,
Schools having quality WASH Basic,%,71.6,84.9,83.5,,,,,,,,,,,
facilities Advanced,%,NA,12,13.1,,,,,,,,,,,
6.4,No. of Local Levels implementing the ReAL plan,No.,0,753,753,,,,,,,,,,
6.5,Schools with ICT equipment and infrastructure,%,46.8,58.7,54.2,,,,,,,,,,
6.6,%,52.6,63.8,78.26,,,,,,,,,,,
6.7,%,20.1,50,58.6,,,,,,,,,,,
Targets,Achievement,,,,,,,,,,,,,,
S.,year,,,,,,,,,,,,,,
Result Indicators,Unit,2024/25,2024/25,,,,,,,,,,,,
N,2021/22,,,,,,,,,,,,,,
2081 BS,2081 BS,,,,,,,,,,,,,,
7.1,mechanism to facilitate monitoring and,No.,100,253,,,,,,,,,,,
7.2,"Capacity Development of SMC, PTA, and HT",No.,"3,500",,,,,,,,,,,,
7.3,learning portal (Sikai Chautari) for teaching-,No.,"8,000","20,000",,,,,,,,,,,
7.4,approved local education plans as the basis for,No.,400,753,,,,,,,,,,,
7.5,No.,80,200,,,,,,,,,,,,
7.6,Equity index in basic education,0.72,0.78,0.54,,,,,,,,,,,
7.7,%,25,80,,,,,,,,,,,,
7.8,No.,NA,100,,,,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
Result Indicators,Unit,2021/22,2024/25,2024/25,,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
8.2,%,42,90,93,,,,,,,,,,,
8.3,%,7,35,,,,,,,,,,,,
Base year,Targets,Achievement,,,,,,,,,,,,,
S.N,Result Indicators,Unit,2021/22,2024/25,2024/25,,,,,,,,,,
2078 BS,2081 BS,2081 BS,,,,,,,,,,,,,
9.1,GDP in investments in the education sector,%,4.3,4.7,8.5,,,,,,,,,,
9.2,%,10.9,13.1,10.95,,,,,,,,,,,
Province,Total,Institutional,Religious,,,,,,,,,,,,
Koshi,"7,886","5,928 368","1,590",84,,,,,,,,,,,
Madhesh,"5,946","4,388 252","1,306",145,,,,,,,,,,,
Bagmati,"7,500","4,987 489","2,024",9,,,,,,,,,,,
Gandaki,"4,193","3,302 261",630,15,,,,,,,,,,,
Lumbini,"6,984","5,284 438","1,262",270,,,,,,,,,,,
Karnali,"3,654","2,558 826",270,4,,,,,,,,,,,
Sudurpashchim,"5,121","3,765 624",732,0,,,,,,,,,,,
Nepal,"41,284","30,212 3,258","7,814",527,,,,,,,,,,,
18.02,29.04,,,,,,,,,,,,,,
15.51 children enrolled in government- 16.65,30.54 33.25,,,,,,,,,,,,,,
21.17,37.75,,,,,,,,,,,,,,
funded ECED Centers to the 12.98 17.59,24.60 26.22,,,,,,,,,,,,,,
27.22,31.92,,,,,,,,,,,,,,
14.08,23.69,,,,,,,,,,,,,,
Community,Institutional,Total,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls,Boys,Total,,,,,,,,,
Koshi,"44,475 47,061","91,536","49,893 63,439","113,332","94,368","110,500","204,868",,,,,,,,
Madhesh,"62,576 65,106","127,682","48,097 77,149","125,246","110,673","142,255","252,928",,,,,,,,
Bagmati,"47,539 52,477","100,016","69,921 90,259","160,180","117,460","142,736","260,196",,,,,,,,
Gandaki,"22,620 25,655","48,275","20,225 26,705","46,930","42,845","52,360","95,205",,,,,,,,
Lumbini,"59,923 64,084","124,007","59,301 83,247","142,548","119,224","147,331","266,555",,,,,,,,
Karnali,"28,028 29,510","57,538","11,061 15,679","26,740","39,089","45,189","84,278",,,,,,,,
Sudurpashchim,"34,291 35,507","69,798","26,877 40,723","67,600","61,168","76,230","137,398",,,,,,,,
Nepal,"299,452 319,400","618,852","285,375 397,201","682,576","584,827","716,601","1,301,428",,,,,,,,
Community,Institutional,,,,,,,,,,,,,,
Province,11-,31-,41-,1-,11-,21- 31-,41-,,,,,,,,
10-Jan,21-30,>50,>50,,,,,,,,,,,,
20,40,50,10,20,30 40,50,,,,,,,,,
Koshi,"1,979","1,358",547 304,161,328,91,107,146 168,154,924,,,,,
Madhesh,139,435,723 561,455,820,99,65,103 76,86,877,,,,,
Bagmati,"1,713","1,350",535 285,172,427,135,123,144 159,182,"1,281",,,,,
Gandaki,"1,679",816,277 127,65,137,39,58,53 61,54,365,,,,,
Lumbini,955,"1,225",790 537,300,544,42,34,59 67,82,978,,,,,
Karnali,590,"1,195",703 232,96,75,27,10,11 19,14,189,,,,,
Sudurpashchim,758,"1,185",731 298,118,169,19,38,39 57,53,526,,,,,
Nepal,"7,813","7,564","4,306 2,344","1,367","2,500",452,435,555 607,625,"5,140",,,,,
Province,Gender,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
Girls,173,24,22,4,6,0,9,0,24,19,15,0,52,348,
Koshi,Boys,466,24,34,4,17,7,5,3,39,69,28,1,52,749
Total,359,48,56,8,23,7,14,3,63,88,43,1,104,817,
Girls,157,17,18,5,7,2,1,0,4,2,7,2,20,242,
Madhesh,Boys,766,19,23,5,2,2,6,0,11,3,22,0,34,893
Total,347,36,41,10,9,4,7,0,15,5,29,2,54,559,
Girls,244,45,29,3,6,4,5,6,34,13,29,1,29,448,
Bagmati,Boys,768,60,31,4,14,4,10,8,58,33,19,2,45,"1,056"
Total,500,105,60,7,20,8,15,14,92,46,48,3,74,992,
Girls,87,10,4,0,1,3,15,0,18,1,5,0,29,173,
Gandaki,Boys,330,13,5,3,7,10,7,1,30,13,8,0,38,465
Total,172,23,9,3,8,13,22,1,48,14,13,0,67,393,
Girls,217,41,30,5,6,4,9,1,14,11,24,1,56,419,
Lumbini,Boys,"1,097",59,40,4,4,7,15,0,48,22,18,0,58,"1,372"
Total,481,100,70,9,10,11,24,1,62,33,42,1,114,958,
Girls,280,8,19,5,6,1,11,2,14,1,8,0,16,371,
Karnali,Boys,439,8,24,7,5,0,7,0,17,1,5,0,20,533
Total,549,16,43,12,11,1,18,2,31,2,13,0,36,734,
Girls,173,14,15,2,11,2,8,0,15,0,15,0,28,283,
Sudurpashchim,Boys,323,14,15,1,5,2,9,2,26,1,14,2,32,446
Total,370,28,30,3,16,4,17,2,41,1,29,2,60,603,
Girls,"1,331",159,137,24,43,16,58,9,123,47,103,4,230,"2,284",
Nepal,Boys,"4,189",197,172,28,54,32,59,14,229,142,114,5,279,"5,514"
Total,"2,778",356,309,52,97,48,117,23,352,189,217,9,509,"5,056",
Province,Gender,1,2,3,4,5,6,7,8,9,10,11,12,13,Total
Girls,113,10,5,1,8,0,1,0,13,10,3,0,2,166,
Koshi,Boys,526,11,2,3,3,1,6,2,24,35,5,0,5,623
Total,280,21,7,4,11,1,7,2,37,45,8,0,7,430,
Girls,219,2,2,0,4,0,1,1,2,1,11,0,0,243,
Madhesh,Boys,704,5,1,1,3,0,5,0,6,1,16,0,6,748
Total,576,7,3,1,7,0,6,1,8,2,27,0,6,644,
Girls,223,15,3,5,3,2,7,0,12,47,2,0,3,322,
Bagmati,Boys,789,28,5,3,8,6,6,0,38,121,8,0,9,"1,021"
Total,512,43,8,8,11,8,13,0,50,168,10,0,12,843,
Girls,103,14,1,1,0,1,2,0,10,14,3,0,0,149,
Gandaki,Boys,314,18,3,0,0,0,4,0,18,16,5,0,3,381
Total,245,32,4,1,0,1,6,0,28,30,8,0,3,358,
Girls,351,6,4,0,5,0,6,0,8,3,6,1,7,397,
Lumbini,Boys,963,5,2,7,6,3,5,0,12,24,15,6,5,"1,053"
Total,833,11,6,7,11,3,11,0,20,27,21,7,12,969,
Girls,62,3,0,0,6,0,0,0,1,0,0,0,0,72,
Karnali,Boys,657,2,0,0,5,1,3,0,3,0,1,0,1,673
Total,170,5,0,0,11,1,3,0,4,0,1,0,1,196,
Girls,48,4,7,1,3,0,6,2,1,2,3,0,20,97,
Sudurpashchim,Boys,448,6,5,3,4,1,5,0,7,1,2,0,25,507
Total,126,10,12,4,7,1,11,2,8,3,5,0,45,234,
Girls,"1,119",54,22,8,29,3,23,3,47,77,28,1,32,"1,446",
Nepal,Boys,"4,401",75,18,17,29,12,34,2,108,198,52,6,54,"5,006"
Total,"2,742",129,40,25,58,15,57,5,155,275,80,7,86,"3,674",
Total,Minimum Standards,,,,,,,,,,,,,,
Meeting,Meeting,Meeting,,,,,,,,,,,,,
ECEDs,With,With 6,With,,,,,,,,,,,,
Province,With With,3,4,5,,,,,,,,,,,
Qualified,Learning,Dust-Free,,,,,,,,,,,,,
Water Toilet,Standards,Standards,Standards,,,,,,,,,,,,
Teacher,Areas,Classroom,,,,,,,,,,,,,
Koshi,"6,296","3,998 4,306 4,155",539,"6,280","4,327","3,262",382,,,,,,,,
Madhesh,"4,640","2,651 2,975 2,635",217,"4,636","2,869","2,130",147,,,,,,,,
Bagmati,"5,476","3,930 4,144 4,052",434,"5,469","4,210","3,426",341,,,,,,,,
Gandaki,"3,563","2,608 2,738 2,667",323,"3,553","2,782","2,310",214,,,,,,,,
Lumbini,"5,722","3,723 4,021 3,855",360,"5,381","3,997","2,905",225,,,,,,,,
Karnali,"3,384","1,606 1,954 1,616",212,"3,071","1,729","1,050",85,,,,,,,,
Su.Pa,"4,389","2,690 2,957 2,604",262,"4,389","2,885","2,055",152,,,,,,,,
Nepal,"33,470","21,206 23,095 21,584","2,347","32,779","22,799","17,138","1,546",,,,,,,,
Community,Institutional,,,,,,,,,,,,,,
Province,Total,Dalit,Janajati,Total,Dalit,Janajati,,,,,,,,,
Girls,Total,Girls Total,Girls Total,Girls,Total,Girls Total,Girls Total,,,,,,,,
Koshi,"44,475","91,536","8,204 16,840","21,558 44,226","49,893","113,332","3,684 8,321","20,729 46,472",,,,,,,
Madhesh,"62,576","127,682","14,407 29,872","8,035 16,560","48,097","125,246","3,571 9,897","7,101 17,109",,,,,,,
Bagmati,"47,539","100,016","5,768 11,911","30,108 62,562","69,921","160,180","3,792 8,853","32,949 74,679",,,,,,,
Gandaki,"22,620","48,275","6,957 14,608","9,801 20,854","20,225","46,930","3,196 7,521","7,566 17,200",,,,,,,
Lumbini,"59,923","124,007","12,612 26,051","23,252 48,058","59,301","142,548","7,067 16,917","18,971 44,197",,,,,,,
Karnali,"28,028","57,538","8,692 17,614","3,044 6,266","11,061","26,740","1,795 4,321","1,413 3,277",,,,,,,
