School Types,Total,Community,Institutional,Religious,,,,,,,,,,,
G 9,"245,516","258,428","503,944","188,836 181,727","370,563","56,680 76,701","133,381",31.4,27.6,,,,,,
G 10,"239,625","246,316","485,941","185,630 173,376","359,006","53,995 72,940","126,935",30.4,26.3,,,,,,
"485,141","504,744","989,885","374,466 355,103","729,569","110,675 149,641","260,316",61.8,53.9,,,,,,,
G 11,"163,446","175,441","338,887","108,753 101,924","210,677","54,693 73,517","128,210",17.8,26.6,,,,,,
G 12,"168,376","166,592","334,968","128,551 112,329","240,880","39,825 54,263","94,088",20.4,19.5,,,,,,
"331,822","342,033","673,855","237,304 214,253","451,557","94,518 127,780","222,298",38.2,46.1,,,,,,,
Nepal,"816,963","846,777","1,663,740","611,770 569,356","1,181,126","205,193 277,421","482,614",100,100,,,,,,
Total,Dalit,Janajati,,,,,,,,,,,,,
Grade,Girls,Boys,Total,Girls,Boys,Total,Girls,Boys,Total,,,,,,
G 9,"245,516","258,428","503,944","35,056","35,111","70,167","88,640","87,695","176,335",,,,,,
G 10,"239,625","246,316","485,941","32,372","31,698","64,070","85,782","80,647","166,429",,,,,,
G 9-10,"485,141","504,744","989,885","67,428","66,809","134,237","174,422","168,342","342,764",,,,,,
G 11,"163,446","175,441","338,887","18,004","18,710","36,714","57,778","54,868","112,646",,,,,,
G 12,"168,376","166,592","334,968","19,171","17,392","36,563","62,517","55,205","117,722",,,,,,
G 11-12,"331,822","342,033","673,855","37,175","36,102","73,277","120,295","110,073","230,368",,,,,,
Nepal,"816,963","846,777","1,663,740","104,603","102,911","207,514","294,717","278,415","573,132",,,,,,
Grade 9-10,Grade 11-12,Grade 9-12,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
Koshi,75 55,130,323 374,697,398 429,827,,,,,,,,,
Madhesh,43 38,81,119 87,206,162 125,287,,,,,,,,,
Bagmati,106 161,267,610 777,1387,716 938,1654,,,,,,,,,
Gandaki,33 28,61,93 119,212,126 147,273,,,,,,,,,
Lumbini,10 8,18,37 36,73,47 44,91,,,,,,,,,
Karnali,7 3,10,31 30,61,38 33,71,,,,,,,,,
Sudurpashchim,13 16,29,90 80,170,103 96,199,,,,,,,,,
Nepal,287 309,596,1303 1503,2806,1590 1812,3402,,,,,,,,,
"1360 53 293 40 128 26 2246661531669
10
40
1137 52
3930
20416
243
78
4050
2
GirlsBoys","614 10 175 10625733017216230
6
7
5591617933
8
3610
41
5
GirlsBoys",,,,,,,,,,,,,,
Promotion Rate,Repetition Rate,Dropout Rate,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,,,
G 9,88.4 85.8,87.1,4.4 5.5,5,7.2 8.7,7.9,,,,,,,,,
G 10,97.6 97.6,97.6,1.3 1.2,1.2,1.1 1.2,1.2,,,,,,,,,
G 9-10,92.9 91.5,92.2,2.9 3.4,3.2,4.2 5.1,4.7,,,,,,,,,
GER (9-10),NER (9-10),GER (11-12),NER (11-12),,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,Girls Boys,Total,,,,,,,,
Koshi,97.8 99.3,98.5,76.6 74.2,75.4,62.1 64.8,63.4,39.5 37.0,38.3,,,,,,,
Madhesh,96.2 99.1,97.7,84.1 80.8,82.4,39.3 56.5,46.6,23.7 30.0,26.4,,,,,,,
Bagmati,103.3 106.4,104.9,75.5 68.5,71.9,78.9 89.6,84.3,43.0 37.0,40,,,,,,,
Gandaki,98.1 100.2,99.2,75.9 69.4,72.6,61.1 61.5,61.3,43.5 42.8,43.1,,,,,,,
Lumbini,97.2 98.5,97.9,77.5 75.4,76.5,54.9 62.6,58.5,37.6 37.3,37.5,,,,,,,
Karnali,95.7 98.2,96.9,70.7 71.5,71.1,67.4 69.6,68.5,46.9 42.0,44.5,,,,,,,
Sudurpashchim,94.3 95.5,94.9,75.7 76.8,76.2,52.6 60.3,56.1,39.1 37.0,38.2,,,,,,,
Nepal,98.0 100.2,99.1,77.3 74.2,75.8,58.9 68.3,63.3,37.5 36.8,37.1,,,,,,,
GER (9-12),NER (9-12),Gender Parity in NER 9-12,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,,,,,,,,,,,,
Koshi,79.2 82.1,80.6,57.3 55.6,56.5,1,,,,,,,,,,
Madhesh,65.3 79.7,72,51.3 57.7,54.3,0.9,,,,,,,,,,
Bagmati,90.3 97.6,94,58.1 51.9,55,1.1,,,,,,,,,,
Gandaki,79.4 81.1,80.3,59.5 56.3,57.9,1.1,,,,,,,,,,
Lumbini,74.1 80.2,77,55.7 56.0,55.9,1,,,,,,,,,,
Karnali,81.3 83.9,82.6,58.6 56.7,57.7,1,,,,,,,,,,
Sudurpashchim,71.8 77.9,74.7,56.0 56.9,56.4,1,,,,,,,,,,
Nepal,77.1 84.3,80.6,56.1 55.5,55.8,1,,,,,,,,,,
Survival rate to Grade 10,Survival rate to Grade 12,,,,,,,,,,,,,,
Girls Boys,Total,Girls Boys,Total,,,,,,,,,,,,
Koshi,68.0 66.8,67.4,49.5 45.3,47.3,,,,,,,,,,,
Madhesh,66.3 65.9,66.1,28.6 25.6,27,,,,,,,,,,,
Bagmati,67.3 66.8,67,57.3 53.6,55.3,,,,,,,,,,,
Gandaki,67.4 67.1,67.2,54.1 50.6,52.2,,,,,,,,,,,
Lumbini,67.6 66.4,66.9,35.6 31.4,33.4,,,,,,,,,,,
Karnali,68.2 66.6,67.4,51.6 50.3,50.9,,,,,,,,,,,
Sudurpashchim,68.2 66.4,67.2,43.8 42.3,43.1,,,,,,,,,,,
Nepal,67.3 66.4,66.9,42.4 39.1,40.6,,,,,,,,,,,
Community,Institutional,Total,,,,,,,,,,,,,
9-10 11-12,9-10 11-12,10-Sep,12-Nov,,,,,,,,,,,,
Koshi,91.4 116.0,57.6 147.0,78,124,,,,,,,,,,,
Madhesh,202.6 160.4,58.1 116.9,145.5,149.2,,,,,,,,,,,
Bagmati,78.8 103.7,63.2 253.9,70.7,158.5,,,,,,,,,,,
Gandaki,62.2 73.8,60.1 98.6,61.6,79.2,,,,,,,,,,,
Lumbini,109.3 135.4,64.7 166.3,93.8,142,,,,,,,,,,,
Karnali,105.5 146.2,52.7 94.5,99.6,142.6,,,,,,,,,,,
Sudurpashchim,93.7 109.8,63.2 184.5,87,120.7,,,,,,,,,,,
Nepal,101.7 118.5,61.2 179.7,86.6,133.5,,,,,,,,,,,
10-Jan,Average,Average,Drinking,Child,,,,,,,,,,,
Province,Electricity,Computers,Library,Toilet,Internet,,,,,,,,,,
schools,Buildings,Computers,Water,Club,,,,,,,,,,,
Koshi,615,6.23,597,569,11.78,515,560,563,581,589,,,,,
Madhesh,338,5.73,319,269,12.63,288,218,243,319,317,,,,,
Bagmati,679,4.37,650,630,14.25,588,605,613,654,648,,,,,
Gandaki,446,5.39,439,427,13.97,395,430,429,431,437,,,,,
Lumbini,550,6,538,508,11.11,477,491,491,535,540,,,,,
Karnali,321,5.54,257,271,8.97,235,237,288,294,274,,,,,
Sudurpashchim,452,6.35,394,417,8.61,390,406,425,430,349,,,,,
Nepal (No.),"3,401",5.63,"3,194","3,091",11.87,"2,888","2,947","3,052","3,244","3,154",,,,,
Nepal (%),93.9,90.9,84.9,86.7,89.7,95.4,92.7,,,,,,,,
10-Jan,Drinking,Child,,,,,,,,,,,,,
Province,Electricity,Computers,Library,Toilet,Internet,,,,,,,,,,
schools,Water,Club,,,,,,,,,,,,,
Koshi,615,97.1,92.5,83.7,91.1,91.5,94.5,95.8,,,,,,,
Madhesh,338,94.4,79.6,85.2,64.5,71.9,94.4,93.8,,,,,,,
Bagmati,679,95.7,92.8,86.6,89.1,90.3,96.3,95.4,,,,,,,
Gandaki,446,98.4,95.7,88.6,96.4,96.2,96.6,98,,,,,,,
Lumbini,550,97.8,92.4,86.7,89.3,89.3,97.3,98.2,,,,,,,
Karnali,321,80.1,84.4,73.2,73.8,89.7,91.6,85.4,,,,,,,
Sudurpashchim,452,87.2,92.3,86.3,89.8,94,95.1,77.2,,,,,,,
Nepal,"3,401",93.9,90.9,84.9,86.7,89.7,95.4,92.7,,,,,,,
12-Jan,Average,Average,Drinking,Child,,,,,,,,,,,
Province,Electricity,Computers,Library,Toilet,Internet,,,,,,,,,,
schools,Buildings,Computers,Water,Club,,,,,,,,,,,
Koshi,655,7.42,616,597,20.6,548,572,585,630,610,,,,,
Madhesh,454,7.38,388,379,20.4,354,346,361,411,397,,,,,
Bagmati,765,5.36,742,709,22.3,688,690,713,737,734,,,,,
Gandaki,505,6.46,483,468,21.2,439,451,475,489,488,,,,,
Lumbini,626,7.58,593,571,20.1,544,560,575,600,589,,,,,
Karnali,349,6.83,313,318,14.1,286,293,313,336,324,,,,,
Sudurpashchim,458,8.55,443,428,16.7,388,398,418,446,425,,,,,
Nepal (No.),"3,812",6.95,"3,578","3,470",19.9,"3,247","3,310","3,440","3,649","3,567",,,,,
Nepal (%),93.9,91,85.2,86.8,90.2,95.7,93.6,,,,,,,,
12-Jan,Drinking,Child,,,,,,,,,,,,,
Province,Electricity,Computers,Library,Toilet,Internet,,,,,,,,,,
schools,Water,Club,,,,,,,,,,,,,
Koshi,655,94,91.1,83.7,87.3,89.3,96.2,93.1,,,,,,,
Madhesh,454,85.5,83.5,78,76.2,79.5,90.5,87.4,,,,,,,
Bagmati,765,97,92.7,89.9,90.2,93.2,96.3,95.9,,,,,,,
Gandaki,505,95.6,92.7,86.9,89.3,94.1,96.8,96.6,,,,,,,
Lumbini,626,94.7,91.2,86.9,89.5,91.9,95.8,94.1,,,,,,,
Karnali,349,89.7,91.1,81.9,84,89.7,96.3,92.8,,,,,,,
Sudurpashchim,458,96.7,93.4,84.7,86.9,91.3,97.4,92.8,,,,,,,
Nepal,"3,812",93.9,91,85.2,86.8,90.2,95.7,93.6,,,,,,,
10-Jan,Teachers',Child,Book,Local,Reference,,,,,,,,,,
Schools,Guide,Material,Corner,Curriculum,Curriculum,Material,,,,,,,,,
Koshi,615,479,419,403,400,407,372,,,,,,,,
Madhesh,338,201,160,176,143,111,134,,,,,,,,
Bagmati,679,496,427,475,439,530,419,,,,,,,,
Gandaki,446,346,323,309,291,349,294,,,,,,,,
Lumbini,550,421,374,361,332,423,329,,,,,,,,
Karnali,321,256,229,235,188,242,201,,,,,,,,
Sudurpashchim,452,358,319,311,298,394,293,,,,,,,,
Nepal (No.),"3,401","2,557","2,251","2,270","2,091","2,456","2,042",,,,,,,,
Nepal (%),75.2,66.2,66.7,61.5,72.2,60,,,,,,,,,
10-Jan,Teachers',Child,Book,Local,Reference,,,,,,,,,,
Schools,Guide,Material,Corner,Curriculum,Curriculum,Material,,,,,,,,,
Koshi,615,77.9,68.1,65.5,65,66.2,60.5,,,,,,,,
Madhesh,338,59.5,47.3,52.1,42.3,32.8,39.6,,,,,,,,
Bagmati,679,73,62.9,70,64.7,78.1,61.7,,,,,,,,
Gandaki,446,77.6,72.4,69.3,65.2,78.3,65.9,,,,,,,,
Lumbini,550,76.5,68,65.6,60.4,76.9,59.8,,,,,,,,
Karnali,321,79.8,71.3,73.2,58.6,75.4,62.6,,,,,,,,
Sudurpashchim,452,79.2,70.6,68.8,65.9,87.2,64.8,,,,,,,,
Nepal,"3,401",75.2,66.2,66.7,61.5,72.2,60,,,,,,,,
12-Jan,Teachers',Child,Book,Local,Reference,,,,,,,,,,
Schools,Guide,Material,Corner,Curriculum,Curriculum,Material,,,,,,,,,
Koshi,655,465,425,422,425,421,428,,,,,,,,
Madhesh,454,307,273,274,262,207,259,,,,,,,,
Bagmati,765,566,500,548,510,575,486,,,,,,,,
Gandaki,505,346,319,323,308,352,307,,,,,,,,
Lumbini,626,444,401,408,360,433,385,,,,,,,,
Karnali,349,247,227,232,208,249,215,,,,,,,,
Sudurpashchim,458,338,309,307,284,354,301,,,,,,,,
Nepal (No.),"3,812","2,713","2,454","2,514","2,357","2,591","2,381",,,,,,,,
Nepal (%),71.2,64.4,65.9,61.8,68,62.5,,,,,,,,,
12-Jan,Teachers',Child,Book,Local,Reference,,,,,,,,,,
Schools,Guide,Material,Corner,Curriculum,Curriculum,Material,,,,,,,,,
Koshi,655,71,64.9,64.4,64.9,64.3,65.3,,,,,,,,
Madhesh,454,67.6,60.1,60.4,57.7,45.6,57,,,,,,,,
Bagmati,765,74,65.4,71.6,66.7,75.2,63.5,,,,,,,,
Gandaki,505,68.5,63.2,64,61,69.7,60.8,,,,,,,,
Lumbini,626,70.9,64.1,65.2,57.5,69.2,61.5,,,,,,,,
Karnali,349,70.8,65,66.5,59.6,71.3,61.6,,,,,,,,
Sudurpashchim,458,73.8,67.5,67,62,77.3,65.7,,,,,,,,
Nepal,"3,812",71.2,64.4,65.9,61.8,68,62.5,,,,,,,,
econdary (1-10) Schools,econdary (1-12) Schools,,,,,,,,,,,,,,
10-Jan,12-Jan,,,,,,,,,,,,,,
rovince,ocial,Financial,ocial,Financial,,,,,,,,,,,
School,School,IP,IP,,,,,,,,,,,,
Audit,Audit,udit,Audit,,,,,,,,,,,,
Koshi,615,655,84,15,576,56,51,544,,,,,,,
Madhesh,338,454,59,37,274,38,51,327,,,,,,,
Bagmati,679,765,18,79,645,79,65,677,,,,,,,
Gandaki,446,505,30,46,432,35,99,434,,,,,,,
Lumbini,550,626,24,50,521,52,19,545,,,,,,,
Karnali,321,349,2,19,297,94,47,287,,,,,,,
Sudurpashchi,452,458,32,47,430,94,58,380,,,,,,,
Nepal,"3,401","3,812",",149",393,"3,175",",248",790,"3,194",,,,,,,
Secondary (1-10) Schools,econdary (1-12) Schools,,,,,,,,,,,,,,
10-Jan,12-Jan,,,,,,,,,,,,,,
Province,Social,inancial,Social,Financial,,,,,,,,,,,
Schools,Schools,IP,IP,,,,,,,,,,,,
Audit,udit,Audit,Audit,,,,,,,,,,,,
Koshi,615,655,5,100,3.7,4,99.3,83.1,,,,,,,
Madhesh,338,454,6,99.7,1.1,4,99.3,72,,,,,,,
Bagmati,679,765,1,100,5,8,100,88.5,,,,,,,
Gandaki,446,505,6,100,6.9,6,98,85.9,,,,,,,
Lumbini,550,626,5,100,4.7,8,98.8,87.1,,,,,,,
Karnali,321,349,4,99.37,2.5,4,99.4,82.2,,,,,,,
Sudurpashchi,452,458,5,98.89,5.1,6,100,83,,,,,,,
Nepal,"3,401","3,812",2,99.7,3.4,5,99.4,83.8,,,,,,,
22.3,18.5,,,,,,,,,,,,,,
18.2,13.8,can influence certain aspects of,,,,,,,,,,,,,
21.7,20,,,,,,,,,,,,,,
26,13,,,,,,,,,,,,,,
28.8,19.4,"school functioning, it is important to",,,,,,,,,,,,,
27.7,recognize that individual leadership,,,,,,,,,,,,,,
11.5,10.4,,,,,,,,,,,,,,
20.4,17.2,"styles, skills, and qualities play a",,,,,,,,,,,,,
Basic (1-5),Basic (6-8),Basic (1-8),,,,,,,,,,,,,
Perm Temp,Rahat,Perm Temp,Rahat,Perm Temp,Rahat,,,,,,,,,,
Koshi,"13,222 3,444","3,051","2,936 1,101","1,674","16,158 4,545","4,725",,,,,,,,,
Madhesh,"7,087 1,760","3,044","1,567 520",659,"8,654 2,280","3,703",,,,,,,,,
Bagmati,"12,129 3,496","3,635","2,645 1,081","2,115","14,774 4,577","5,750",,,,,,,,,
Gandaki,"9,257 3,090","1,335","2,145 841","1,040","11,402 3,931","2,375",,,,,,,,,
Lumbini,"9,965 2,619","3,306","2,064 849","1,504","12,029 3,468","4,810",,,,,,,,,
Karnali,"4,843 1,400","1,955",842 559,881,"5,685 1,959","2,836",,,,,,,,,
Sudurpashchim,"5,866 1,376","3,216","1,262 548","1,422","7,128 1,924","4,638",,,,,,,,,
Nepal,"62,369 17,185","19,542","13,461 5,499","9,295","75,830 22,684","28,837",,,,,,,,,
Basic (1-5),Basic (6-8),Basic (1-8),,,,,,,,,,,,,
Female Male,Total,Female Male,Total,Female Male,Total,,,,,,,,,,
Koshi,"8,789 10,928","19,717","1,417 4,294","5,711","10,206 15,222","25,428",,,,,,,,,
Madhesh,"4,115 7,776","11,891","447 2,299","2,746","4,562 10,075","14,637",,,,,,,,,
Bagmati,"9,808 9,452","19,260","2,202 3,639","5,841","12,010 13,091","25,101",,,,,,,,,
Gandaki,"7,309 6,373","13,682","1,383 2,643","4,026","8,692 9,016","17,708",,,,,,,,,
Lumbini,"7,672 8,218","15,890","1,276 3,141","4,417","8,948 11,359","20,307",,,,,,,,,
Karnali,"2,767 5,431","8,198","423 1,859","2,282","3,190 7,290","10,480",,,,,,,,,
Sudurpashchim,"3,728 6,730","10,458","523 2,709","3,232","4,251 9,439","13,690",,,,,,,,,
Nepal,"44,188 54,908","99,096","7,671 20,584","28,255","51,859 75,492","127,351",,,,,,,,,
Basic (1-5),Basic (6-8),Basic (1-8),,,,,,,,,,,,,
Female Male,Total,Female Male,Total,Female Male,Total,,,,,,,,,,
Koshi,"1,453 592","2,045",262 419,681,"1,715 1,011","2,726",,,,,,,,,
Madhesh,510 451,961,111 243,354,621 694,"1,315",,,,,,,,,
Bagmati,"1,884 539","2,423",370 398,768,"2,254 937","3,191",,,,,,,,,
Gandaki,"1,851 430","2,281",298 338,636,"2,149 768","2,917",,,,,,,,,
Lumbini,"2,424 853","3,277",618 684,"1,302","3,042 1,537","4,579",,,,,,,,,
Karnali,606 659,"1,265",179 506,685,"785 1,165","1,950",,,,,,,,,
Sudurpashchim,"1,057 1,199","2,256",282 983,"1,265","1,339 2,182","3,521",,,,,,,,,
Nepal,"9,785 4,723","14,508","2,120 3,571","5,691","11,905 8,294","20,199",,,,,,,,,
Grant,-,Grant - Local,Volunteer,Total,,,,,,,,,,,
Province,Grant - Federal,Provincial,,,,,,,,,,,,,
F M T,F M,T,F M,T,F M,T,F,M,T,,,,,,
Koshi,27 21 48,50 41,91,124 65,189,23 18,41,224,145,369,,,,,
Madhesh,25 45 70,18 23,41,92 96,188,48 25,73,183,189,372,,,,,
Bagmati,19 19 38,44 16,60,176 57,233,69 21,90,308,113,421,,,,,
Gandaki,13 10 23,25 15,40,66 32,98,31 5,36,135,62,197,,,,,
Lumbini,58 47 105,52 31,83,279 182,461,33 18,51,422,278,700,,,,,
Karnali,23 53 76,21 29,50,145 219,364,7 8,15,196,309,505,,,,,
Su.Pa,40 62 102,28 53,81,190 255,445,14 15,29,272,385,657,,,,,
Nepal,205 257 462,238 208,446,"1,072 906","1,978",225 110,335,"1,740","1,481","3,221",,,,,
Grant,-,Grant - Local,Volunteer,Total,,,,,,,,,,,
Province,Grant - Federal,Provincial,,,,,,,,,,,,,
F M T,F M,T,F M,T,F M,T,F,M,T,,,,,,
Koshi,54 95 149,24 21,45,57 68,125,12 16,28,147,200,347,,,,,
Madhesh,23 61 84,5 22,27,28 79,107,18 15,33,74,177,251,,,,,
Bagmati,57 92 149,17 31,48,108 125,233,12 5,17,194,253,447,,,,,
Gandaki,28 43 71,7 12,19,35 27,62,5 4,9,75,86,161,,,,,
Lumbini,67 151 218,28 39,67,219 333,552,16 36,52,330,559,889,,,,,
Karnali,33 120 153,8 40,48,77 288,365,7 19,26,125,467,592,,,,,
Sudurpashchim,28 174 202,11 30,41,154 353,507,2 11,13,195,568,763,,,,,
Nepal,"290 736 1,026",100 195,295,"678 1,273","1,951",72 106,178,"1,140","2,310","3,450",,,,,
Basic (1-5),Basic (6-8),Basic (1-8),,,,,,,,,,,,,
Female,Male,Total,Female Male,Total,Female Male,Total,,,,,,,,,
Koshi,"5,341","2,003","7,344","1,830 2,451","4,281","7,171 4,454","11,625",,,,,,,,
Madhesh,"2,659","2,217","4,876","876 1,675","2,551","3,535 3,892","7,427",,,,,,,,
Bagmati,"10,775","1,574","12,349","4,879 3,281","8,160","15,654 4,855","20,509",,,,,,,,
Gandaki,"3,297",718,"4,015","1,123 1,024","2,147","4,420 1,742","6,162",,,,,,,,
Lumbini,"5,458","2,093","7,551","1,624 2,172","3,796","7,082 4,265","11,347",,,,,,,,
Karnali,625,361,986,172 336,508,797 697,"1,494",,,,,,,,
Sudurpashchim,"2,259","1,251","3,510","688 1,180","1,868","2,947 2,431","5,378",,,,,,,,
Nepal,"30,414","10,217","40,631","11,192 12,119","23,311","41,606 22,336","63,942",,,,,,,,
Basic (1-5),Basic (6-8),Basic (1-8),,,,,,,,,,,,,
Female Male,Total,Female Male,Total,Female Male,Total,,,,,,,,,,
Koshi,"15,807 13,668","29,475","3,656 7,364","11,020","19,463 21,032","40,495",,,,,,,,,
Madhesh,"7,467 10,633","18,100","1,508 4,394","5,902","8,975 15,027","24,002",,,,,,,,,
Bagmati,"22,775 11,678","34,453","7,645 7,571","15,216","30,420 19,249","49,669",,,,,,,,,
Gandaki,"12,592 7,583","20,175","2,879 4,091","6,970","15,471 11,674","27,145",,,,,,,,,
Lumbini,"15,976 11,442","27,418","3,848 6,556","10,404","19,824 17,998","37,822",,,,,,,,,
Karnali,"4,194 6,760","10,954","899 3,168","4,067","5,093 9,928","15,021",,,,,,,,,
Sudurpashchim,"7,316 9,565","16,881","1,688 5,440","7,128","9,004 15,005","24,009",,,,,,,,,
Nepal,"86,127 71,329","157,456","22,123 38,584","60,707","108,250 109,913","218,163",,,,,,,,,
Secondary (9-10),Secondary (11-12),Secondary (9-12),,,,,,,,,,,,,
Perm Temp,Rahat,Perm Temp Rahat,Perm Temp Rahat,,,,,,,,,,,,
Koshi,"2,174 1,006","1,312",- 259 599,"2,174 1,265 1,911",,,,,,,,,,,
Madhesh,"1,374 501",523,- 233 276,"1,374 734 799",,,,,,,,,,,
Bagmati,"2,506 1,041","1,587",- 417 653,"2,506 1,458 2,240",,,,,,,,,,,
Gandaki,"1,861 809",877,- 255 600,"1,861 1,064 1,477",,,,,,,,,,,
Lumbini,"1,779 839","1,117",- 248 612,"1,779 1,087 1,729",,,,,,,,,,,
Karnali,576 499,613,- 201 393,"576 700 1,006",,,,,,,,,,,
Sudurpashchim,889 393,"1,146",- 314 817,"889 707 1,963",,,,,,,,,,,
Nepal,"11,159 5,088","7,175","- 1,927 3,950","11,159 7,006 11,116",,,,,,,,,,,
Secondary (9-10),Secondary (11-12),Secondary (9-12),,,,,,,,,,,,,
Female Male,Total,Female Male Total,Female Male,Total,,,,,,,,,,,
Koshi,1513 2979,4492,67 791 858,1641 3709,5350,,,,,,,,,,
Madhesh,651 1747,2398,20 489 509,691 2216,2907,,,,,,,,,,
Bagmati,1979 3155,5134,153 917 1070,2153 4051,6204,,,,,,,,,,
Gandaki,1258 2289,3547,120 735 855,1388 3014,4402,,,,,,,,,,
Lumbini,1320 2415,3735,83 777 860,1434 3161,4595,,,,,,,,,,
Karnali,637 1051,1688,40 554 594,712 1570,2282,,,,,,,,,,
Sudurpashchim,601 1827,2428,167 964 1131,684 2875,3559,,,,,,,,,,
Nepal,7959 15463,23422,650 5227 5877,8703 20596,29299,,,,,,,,,,
Secondary (9-10),Secondary (11-12),Secondary (9-12),,,,,,,,,,,,,
Female Male,Total,Female Male Total,Female Male,Total,,,,,,,,,,,
Koshi,83 220,303,31 125 156,114 345,459,,,,,,,,,,
Madhesh,24 193,217,11 55 66,35 248,283,,,,,,,,,,
Bagmati,156 327,483,42 138 180,198 465,663,,,,,,,,,,
Gandaki,72 235,307,41 163 204,113 398,511,,,,,,,,,,
Lumbini,185 475,660,67 212 279,252 687,939,,,,,,,,,,
Karnali,40 199,239,10 52 62,50 251,301,,,,,,,,,,
Sudurpashchim,77 439,516,25 139 164,102 578,680,,,,,,,,,,
Nepal,"637 2,088","2,725","227 884 1,111",864 2972,"3,836",,,,,,,,,,
Grant,-,Grant - Local,Volunteer,Total,,,,,,,,,,,
Province,Grant - Federal,Provincial,,,,,,,,,,,,,
F M T,F M,T,F M T,F M T,F,M,T,,,,,,,,
Koshi,47 189 236,15 41,56,19 45 64,10 17 27,91,292,383,,,,,,,
Madhesh,13 82 95,3 15,18,14 40 54,9 22 31,39,159,198,,,,,,,
Bagmati,81 237 318,42 122,164,58 115 173,11 12 23,192,486,678,,,,,,,
Gandaki,27 94 121,7 16,23,17 27 44,0 1 1,51,138,189,,,,,,,
Lumbini,77 307 384,17 34,51,101 185 286,13 18 31,208,544,752,,,,,,,
Karnali,35 192 227,1 32,33,39 135 174,2 10 12,77,369,446,,,,,,,
Su.Pa,33 331 364,3 27,30,38 189 227,1 10 11,75,557,632,,,,,,,
Nepal,"313 1,432 1,745",88 287,375,"286 736 1,022",46 90 136,733,"2,545","3,278",,,,,,,
Secondary (9-10),Secondary (11-12),Secondary (9-12),,,,,,,,,,,,,
Female Male,Total,Female Male Total,Female Male,Total,,,,,,,,,,,
Koshi,"714 3,278","3,992",71 528 599,"785 3,806","4,591",,,,,,,,,,
Madhesh,"311 1,674","1,985",24 247 271,"335 1,921","2,256",,,,,,,,,,
Bagmati,"2,512 7,255","9,767","489 1,752 2,241","3,001 9,007","12,008",,,,,,,,,,
Gandaki,"478 1,834","2,312",73 501 574,"551 2,335","2,886",,,,,,,,,,
Lumbini,"630 2,664","3,294",57 434 491,"687 3,098","3,785",,,,,,,,,,
Karnali,69 309,378,11 47 58,80 356,436,,,,,,,,,,
Sudurpashchim,222 929,"1,151",41 183 224,"263 1,112","1,375",,,,,,,,,,
Nepal,"4,936 17,943","22,879","766 3,692 4,458","5,702 21,635","27,337",,,,,,,,,,
Secondary (9-10),Secondary (11-12),Secondary (9-12),,,,,,,,,,,,,
Female Male,Total,Female Male,Total,Female Male,Total,,,,,,,,,,
Koshi,"2,401 6,769","9,170","169 1,444","1,613","2,570 8,213","10,783",,,,,,,,,
Madhesh,"1,025 3,773","4,798",55 791,846,"1,080 4,564","5,644",,,,,,,,,
Bagmati,"4,839 11,223","16,062","684 2,807","3,491","5,523 14,030","19,553",,,,,,,,,
Gandaki,"1,859 4,496","6,355","234 1,399","1,633","2,093 5,895","7,988",,,,,,,,,
Lumbini,"2,343 6,098","8,441","207 1,423","1,630","2,550 7,521","10,071",,,,,,,,,
Karnali,"823 1,928","2,751",61 653,714,"884 2,581","3,465",,,,,,,,,
Sudurpashchim,"975 3,752","4,727","233 1,286","1,519","1,208 5,038","6,246",,,,,,,,,
Nepal,"14,265 38,039","52,304","1,643 9,803","11,446","15,908 47,842","63,750",,,,,,,,,
